_id,date,age_group,deaths_boost_vac_rate_7ma,deaths_full_vac_rate_7ma,deaths_not_full_vac_rate_7ma
99,2021-03-15T00:00:00,0-4yrs,0,0,0
100,2021-03-15T00:00:00,5-11yrs,0,0,0
101,2021-03-15T00:00:00,12-17yrs,0,0,0
102,2021-03-15T00:00:00,18-39yrs,0,0,0
103,2021-03-15T00:00:00,40-59yrs,0,0,0.03
104,2021-03-15T00:00:00,60+,0,0,0.29
105,2021-03-15T00:00:00,ALL,0,0,0.08
106,2021-03-16T00:00:00,0-4yrs,0,0,0
107,2021-03-16T00:00:00,5-11yrs,0,0,0
108,2021-03-16T00:00:00,12-17yrs,0,0,0
109,2021-03-16T00:00:00,18-39yrs,0,0,0
110,2021-03-16T00:00:00,40-59yrs,0,0,0.03
111,2021-03-16T00:00:00,60+,0,0,0.27
112,2021-03-16T00:00:00,ALL,0,0,0.07
113,2021-03-17T00:00:00,0-4yrs,0,0,0
114,2021-03-17T00:00:00,5-11yrs,0,0,0
115,2021-03-17T00:00:00,12-17yrs,0,0,0
116,2021-03-17T00:00:00,18-39yrs,0,0,0
117,2021-03-17T00:00:00,40-59yrs,0,0,0.03
118,2021-03-17T00:00:00,60+,0,0,0.26
119,2021-03-17T00:00:00,ALL,0,0,0.07
120,2021-03-18T00:00:00,0-4yrs,0,0,0
121,2021-03-18T00:00:00,5-11yrs,0,0,0
122,2021-03-18T00:00:00,12-17yrs,0,0,0
123,2021-03-18T00:00:00,18-39yrs,0,0,0
124,2021-03-18T00:00:00,40-59yrs,0,0,0.04
125,2021-03-18T00:00:00,60+,0,0,0.27
126,2021-03-18T00:00:00,ALL,0,0,0.08
127,2021-03-19T00:00:00,0-4yrs,0,0,0
128,2021-03-19T00:00:00,5-11yrs,0,0,0
129,2021-03-19T00:00:00,12-17yrs,0,0,0
130,2021-03-19T00:00:00,18-39yrs,0,0,0
131,2021-03-19T00:00:00,40-59yrs,0,0,0.04
132,2021-03-19T00:00:00,60+,0,0,0.26
133,2021-03-19T00:00:00,ALL,0,0,0.07
134,2021-03-20T00:00:00,0-4yrs,0,0,0
135,2021-03-20T00:00:00,5-11yrs,0,0,0
136,2021-03-20T00:00:00,12-17yrs,0,0,0
137,2021-03-20T00:00:00,18-39yrs,0,0,0.01
138,2021-03-20T00:00:00,40-59yrs,0,0,0.04
139,2021-03-20T00:00:00,60+,0,0,0.27
140,2021-03-20T00:00:00,ALL,0,0,0.08
141,2021-03-21T00:00:00,0-4yrs,0,0,0
142,2021-03-21T00:00:00,5-11yrs,0,0,0
143,2021-03-21T00:00:00,12-17yrs,0,0,0
144,2021-03-21T00:00:00,18-39yrs,0,0,0.01
145,2021-03-21T00:00:00,40-59yrs,0,0,0.04
146,2021-03-21T00:00:00,60+,0,0,0.26
147,2021-03-21T00:00:00,ALL,0,0,0.08
148,2021-03-22T00:00:00,0-4yrs,0,0,0
149,2021-03-22T00:00:00,5-11yrs,0,0,0
150,2021-03-22T00:00:00,12-17yrs,0,0,0
151,2021-03-22T00:00:00,18-39yrs,0,0,0.01
152,2021-03-22T00:00:00,40-59yrs,0,0,0.04
153,2021-03-22T00:00:00,60+,0,0,0.26
154,2021-03-22T00:00:00,ALL,0,0,0.08
155,2021-03-23T00:00:00,0-4yrs,0,0,0
156,2021-03-23T00:00:00,5-11yrs,0,0,0
157,2021-03-23T00:00:00,12-17yrs,0,0,0
158,2021-03-23T00:00:00,18-39yrs,0,0,0.01
159,2021-03-23T00:00:00,40-59yrs,0,0,0.04
160,2021-03-23T00:00:00,60+,0,0,0.28
161,2021-03-23T00:00:00,ALL,0,0,0.08
162,2021-03-24T00:00:00,0-4yrs,0,0,0
163,2021-03-24T00:00:00,5-11yrs,0,0,0
164,2021-03-24T00:00:00,12-17yrs,0,0,0
165,2021-03-24T00:00:00,18-39yrs,0,0,0.01
166,2021-03-24T00:00:00,40-59yrs,0,0,0.03
167,2021-03-24T00:00:00,60+,0,0,0.3
168,2021-03-24T00:00:00,ALL,0,0,0.08
169,2021-03-25T00:00:00,0-4yrs,0,0,0
170,2021-03-25T00:00:00,5-11yrs,0,0,0
171,2021-03-25T00:00:00,12-17yrs,0,0,0
172,2021-03-25T00:00:00,18-39yrs,0,0,0.01
173,2021-03-25T00:00:00,40-59yrs,0,0,0.03
174,2021-03-25T00:00:00,60+,0,0,0.32
175,2021-03-25T00:00:00,ALL,0,0,0.09
176,2021-03-26T00:00:00,0-4yrs,0,0,0
177,2021-03-26T00:00:00,5-11yrs,0,0,0
178,2021-03-26T00:00:00,12-17yrs,0,0,0
179,2021-03-26T00:00:00,18-39yrs,0,0,0.01
180,2021-03-26T00:00:00,40-59yrs,0,0,0.03
181,2021-03-26T00:00:00,60+,0,0,0.35
182,2021-03-26T00:00:00,ALL,0,0,0.09
183,2021-03-27T00:00:00,0-4yrs,0,0,0
184,2021-03-27T00:00:00,5-11yrs,0,0,0
185,2021-03-27T00:00:00,12-17yrs,0,0,0
186,2021-03-27T00:00:00,18-39yrs,0,0,0
187,2021-03-27T00:00:00,40-59yrs,0,0,0.02
188,2021-03-27T00:00:00,60+,0,0,0.36
189,2021-03-27T00:00:00,ALL,0,0,0.09
190,2021-03-28T00:00:00,0-4yrs,0,0,0
191,2021-03-28T00:00:00,5-11yrs,0,0,0
192,2021-03-28T00:00:00,12-17yrs,0,0,0
193,2021-03-28T00:00:00,18-39yrs,0,0,0
194,2021-03-28T00:00:00,40-59yrs,0,0,0.03
195,2021-03-28T00:00:00,60+,0,0.1,0.41
196,2021-03-28T00:00:00,ALL,0,0.05,0.1
197,2021-03-29T00:00:00,0-4yrs,0,0,0
198,2021-03-29T00:00:00,5-11yrs,0,0,0
199,2021-03-29T00:00:00,12-17yrs,0,0,0
200,2021-03-29T00:00:00,18-39yrs,0,0,0
201,2021-03-29T00:00:00,40-59yrs,0,0,0.03
202,2021-03-29T00:00:00,60+,0,0.1,0.45
203,2021-03-29T00:00:00,ALL,0,0.05,0.11
204,2021-03-30T00:00:00,0-4yrs,0,0,0
205,2021-03-30T00:00:00,5-11yrs,0,0,0
206,2021-03-30T00:00:00,12-17yrs,0,0,0
207,2021-03-30T00:00:00,18-39yrs,0,0,0
208,2021-03-30T00:00:00,40-59yrs,0,0,0.02
209,2021-03-30T00:00:00,60+,0,0.1,0.47
210,2021-03-30T00:00:00,ALL,0,0.05,0.12
211,2021-03-31T00:00:00,0-4yrs,0,0,0
212,2021-03-31T00:00:00,5-11yrs,0,0,0
213,2021-03-31T00:00:00,12-17yrs,0,0,0
214,2021-03-31T00:00:00,18-39yrs,0,0,0
215,2021-03-31T00:00:00,40-59yrs,0,0,0.02
216,2021-03-31T00:00:00,60+,0,0.1,0.47
217,2021-03-31T00:00:00,ALL,0,0.05,0.12
218,2021-04-01T00:00:00,0-4yrs,0,0,0
219,2021-04-01T00:00:00,5-11yrs,0,0,0
220,2021-04-01T00:00:00,12-17yrs,0,0,0
221,2021-04-01T00:00:00,18-39yrs,0,0,0
222,2021-04-01T00:00:00,40-59yrs,0,0,0.01
223,2021-04-01T00:00:00,60+,0,0.1,0.47
224,2021-04-01T00:00:00,ALL,0,0.05,0.11
225,2021-04-02T00:00:00,0-4yrs,0,0,0
226,2021-04-02T00:00:00,5-11yrs,0,0,0
227,2021-04-02T00:00:00,12-17yrs,0,0,0
228,2021-04-02T00:00:00,18-39yrs,0,0,0
229,2021-04-02T00:00:00,40-59yrs,0,0,0.01
230,2021-04-02T00:00:00,60+,0,0.1,0.47
231,2021-04-02T00:00:00,ALL,0,0.05,0.11
232,2021-04-03T00:00:00,0-4yrs,0,0,0
233,2021-04-03T00:00:00,5-11yrs,0,0,0
234,2021-04-03T00:00:00,12-17yrs,0,0,0
235,2021-04-03T00:00:00,18-39yrs,0,0,0
236,2021-04-03T00:00:00,40-59yrs,0,0,0.02
237,2021-04-03T00:00:00,60+,0,0.1,0.44
238,2021-04-03T00:00:00,ALL,0,0.05,0.11
239,2021-04-04T00:00:00,0-4yrs,0,0,0
240,2021-04-04T00:00:00,5-11yrs,0,0,0
241,2021-04-04T00:00:00,12-17yrs,0,0,0
242,2021-04-04T00:00:00,18-39yrs,0,0,0
243,2021-04-04T00:00:00,40-59yrs,0,0,0.02
